iter	RMSE
0	46383.0405
1	39057.76011
2	35513.29062
3	32254.51473
4	31124.25404
5	30113.61179
6	29338.29624
7	28618.23986
8	28067.23094
9	27754.8861
10	27288.31531
11	26830.76312
12	26443.9265
13	26271.53938
14	25998.84
15	25839.78211
16	25739.76025
17	25202.51318
18	24950.09893
19	24732.65962
20	24477.15147
21	24350.98282
22	24136.94075
23	23908.95239
24	23646.37524
25	23458.01855
26	23382.26678
27	23277.7064
28	23250.74931
29	23207.04279
30	23082.43331
31	22866.03899
32	22805.54425
33	22599.28768
34	22517.51934
35	22382.52493
36	22265.80822
37	22125.53981
38	22106.68052
39	21790.81563
40	21633.34091
41	21457.07353
42	21412.6244
43	21312.89592
44	21219.6049
45	21150.28947
46	21056.42132
47	20921.87045
48	20843.2538
49	20757.22427
50	20744.68777
51	20653.92728
52	20638.31251
53	20593.98703
54	20584.89342
55	20437.82433
56	20432.82268
57	20353.74562
58	20277.37645
59	20234.71818
60	20153.35725
61	20094.94331
62	20061.45039
63	20003.85423
64	19960.2355
65	19956.13014
66	19901.69651
67	19873.78993
68	19865.43768
69	19813.09515
70	19782.64292
71	19746.94598
72	19676.70149
73	19539.90351
74	19485.72571
75	19444.76806
76	19417.11758
77	19374.97014
78	19345.25905
79	19322.40545
80	19242.22524
81	19234.04756
82	19204.95793
83	19146.3288
84	19131.88728
85	19119.18816
86	19080.38167
87	19032.10689
88	19007.44258
89	18974.65402
90	18947.9302
91	18936.25838
92	18863.93409
93	18778.37389
94	18724.09466
95	18692.9516
96	18657.05124
97	18629.04735
98	18627.32958
99	18593.2667
100	18563.79486
101	18502.68671
102	18461.96798
103	18386.57939
104	18376.3876
105	18375.42985
106	18356.84321
107	18343.64521
108	18289.90336
109	18274.26619
110	18231.56962
111	18179.38757
112	18151.84572
113	18133.94438
114	18101.39513
115	18041.0078
116	18008.89912
117	17998.3872
118	17953.32286
119	17924.48201
120	17921.37617
121	17906.5752
122	17887.62667
123	17830.23926
124	17814.1344
125	17793.60915
126	17771.64951
127	17747.26902
128	17706.22616
129	17663.95763
130	17649.59891
131	17631.86563
132	17630.98194
133	17616.78357
134	17607.44101
135	17607.02924
136	17586.52174
137	17562.64505
138	17562.1497
139	17548.49722
140	17534.61826
141	17514.16114
142	17506.55581
143	17481.97267
144	17471.2596
145	17447.78924
146	17441.56917
147	17434.67254
148	17412.1513
149	17375.45402
