iter	Passed	Remaining
0	184	27442
1	187	13880
2	191	9385
3	195	7131
4	198	5763
5	202	4861
6	206	4210
7	209	3726
8	213	3339
9	216	3031
10	219	2772
11	221	2545
12	223	2357
13	225	2192
14	228	2060
15	233	1959
16	236	1848
17	240	1765
18	242	1670
19	243	1585
20	245	1508
21	247	1438
22	248	1373
23	250	1314
24	251	1259
25	253	1210
26	255	1164
27	257	1121
28	258	1080
29	260	1042
30	262	1006
31	263	972
32	265	941
33	267	912
34	269	884
35	270	857
36	271	830
37	273	806
38	275	782
39	276	760
40	278	739
41	279	719
42	281	700
43	283	683
44	285	666
45	287	649
46	288	633
47	290	617
48	292	602
49	293	587
50	295	573
51	297	560
52	299	547
53	300	534
54	301	521
55	303	509
56	304	497
57	306	486
58	308	475
59	309	464
60	312	455
61	314	445
62	315	435
63	316	424
64	317	414
65	318	405
66	320	396
67	321	388
68	324	380
69	326	373
70	328	364
71	329	356
72	330	348
73	332	341
74	333	333
75	335	326
76	336	319
77	338	312
78	340	305
79	342	299
80	343	293
81	345	286
82	347	280
83	349	274
84	350	268
85	352	262
86	353	256
87	356	250
88	357	245
89	359	239
90	360	233
91	362	228
92	363	223
93	365	217
94	367	212
95	368	207
96	370	202
97	372	197
98	374	192
99	376	188
100	377	183
101	379	178
102	380	173
103	382	169
104	384	164
105	386	160
106	388	156
107	390	151
108	392	147
109	393	143
110	395	138
111	397	134
112	399	130
113	400	126
114	402	122
115	404	118
116	406	114
117	407	110
118	409	106
119	411	102
120	412	98
121	414	95
122	416	91
123	417	87
124	419	83
125	421	80
126	422	76
127	424	72
128	426	69
129	427	65
130	429	62
131	431	58
132	433	55
133	434	51
134	436	48
135	438	45
136	439	41
137	441	38
138	443	35
139	444	31
140	446	28
141	448	25
142	450	22
143	451	18
144	453	15
145	454	12
146	456	9
147	458	6
148	460	3
149	462	0
